學年度,學校代碼,學校名稱,縣市名稱,體系別,在校生總數,區域,設立別,休學人數,在學人數_S,休學率,退學人數,退學率,專任教師數,生師比,公私立
106,1,國立政治大學,臺北市,1 一般,16353,北部,公立,,,,569.0,0.017,722.0,22.6,公立
106,2,國立清華大學,新竹市,1 一般,16664,北部,公立,,,,612.0,0.018,824.0,20.2,公立
106,3,國立臺灣大學,臺北市,1 一般,31802,北部,公立,,,,1279.0,0.02,2045.0,15.6,公立
106,4,國立臺灣師範大學,臺北市,3 師範,15426,北部,公立,,,,731.0,0.024,826.0,18.7,公立
106,5,國立成功大學,臺南市,1 一般,21252,南部,公立,,,,1037.0,0.024,1326.0,16.0,公立
106,6,國立中興大學,臺中市,1 一般,14877,中部,公立,,,,815.0,0.027,769.0,19.3,公立
106,7,國立交通大學,新竹市,1 一般,14169,北部,,,,,619.0,0.022,,,未知
106,8,國立中央大學,桃園市,1 一般,11924,北部,公立,,,,541.0,0.023,653.0,18.3,公立
106,9,國立中山大學,高雄市,1 一般,9466,南部,公立,,,,533.0,0.028,509.0,18.6,公立
106,12,國立臺灣海洋大學,基隆市,1 一般,8652,北部,公立,,,,450.0,0.026,414.0,20.9,公立
106,13,國立中正大學,嘉義縣,1 一般,11512,南部,公立,,,,564.0,0.024,542.0,21.2,公立
106,14,國立高雄師範大學,高雄市,3 師範,6654,南部,公立,,,,451.0,0.034,290.0,22.9,公立
106,15,國立彰化師範大學,彰化縣,3 師範,8235,中部,公立,,,,406.0,0.025,373.0,22.1,公立
106,16,國立陽明大學,臺北市,1 一般,4332,北部,公立,,,,215.0,0.025,398.0,10.9,公立
106,17,國立臺北大學,新北市,1 一般,9853,北部,公立,,,,453.0,0.023,380.0,25.9,公立
106,18,國立嘉義大學,嘉義市,1 一般,12399,南部,公立,,,,716.0,0.029,515.0,24.1,公立
106,19,國立高雄大學,高雄市,2 技職,170,南部,公立,,,,279.0,0.025,235.0,0.7,公立
106,20,國立東華大學,花蓮縣,1 一般,10154,東部,公立,,,,608.0,0.03,492.0,20.6,公立
106,21,國立暨南國際大學,南投縣,1 一般,6361,中部,公立,,,,337.0,0.026,268.0,23.7,公立
106,22,國立臺灣科技大學,臺北市,2 技職,11019,北部,公立,,,,430.0,0.02,458.0,24.1,公立
106,23,國立雲林科技大學,雲林縣,2 技職,9715,中部,公立,,,,478.0,0.025,365.0,26.6,公立
106,24,國立屏東科技大學,屏東縣,2 技職,11187,南部,公立,,,,629.0,0.028,398.0,28.1,公立
106,25,國立臺北科技大學,臺北市,2 技職,12973,北部,公立,,,,592.0,0.023,470.0,27.6,公立
106,26,國立高雄第一科技大學,高雄市,2 技職,7804,南部,公立,,,,,,269.0,29.0,公立
106,27,國立高雄應用科技大學,高雄市,2 技職,11822,南部,公立,,,,,,351.0,33.7,公立
106,28,國立臺北藝術大學,臺北市,1 一般,3131,北部,公立,,,,150.0,0.024,160.0,19.6,公立
106,29,國立臺灣藝術大學,新北市,2 技職,371,北部,公立,,,,223.0,0.02,162.0,2.3,公立
106,30,國立臺東大學,臺東縣,1 一般,4616,東部,公立,,,,298.0,0.032,192.0,24.0,公立
106,31,國立宜蘭大學,宜蘭縣,1 一般,5511,東部,公立,,,,299.0,0.027,233.0,23.7,公立
106,32,國立聯合大學,苗栗縣,1 一般,7729,中部,公立,,,,540.0,0.035,288.0,26.8,公立
106,33,國立虎尾科技大學,雲林縣,2 技職,10188,中部,公立,,,,439.0,0.022,329.0,31.0,公立
106,34,國立高雄海洋科技大學,高雄市,2 技職,7694,南部,公立,,,,,,230.0,33.5,公立
106,35,國立臺南藝術大學,臺南市,1 一般,1580,南部,公立,,,,102.0,0.032,105.0,15.0,公立
106,36,國立臺南大學,臺南市,1 一般,5745,南部,公立,,,,341.0,0.03,237.0,24.2,公立
106,37,國立臺北教育大學,臺北市,3 師範,5808,北部,公立,,,,288.0,0.025,223.0,26.0,公立
106,39,國立臺中教育大學,臺中市,3 師範,5006,中部,公立,,,,243.0,0.024,199.0,25.2,公立
106,42,國立澎湖科技大學,澎湖縣,2 技職,3008,離島,公立,,,,195.0,0.032,123.0,24.5,公立
106,43,國立勤益科技大學,臺中市,2 技職,11176,中部,公立,,,,603.0,0.027,281.0,39.8,公立
106,44,國立體育大學,桃園市,1 一般,2464,北部,公立,,,,132.0,0.027,101.0,24.4,公立
106,46,國立臺北護理健康大學,臺北市,2 技職,5077,北部,公立,,,,169.0,0.017,174.0,29.2,公立
106,47,國立高雄餐旅大學,高雄市,2 技職,5267,南部,公立,,,,128.0,0.012,149.0,35.3,公立
