學年度,學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,總計,男生計,女生計,華語先修生男生,華語先修生女生,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
113,1,國立政治大學,1111001,教育學系,D 日,D 博士,94,45,49,0,0,6,9,8,11,6,7,7,8,9,6,4,7,5,1,0,0,30 臺北市,1 一般
113,1,國立政治大學,1111001,教育學系,D 日,M 碩士,34,6,28,0,0,0,9,2,9,4,5,0,5,0,0,0,0,0,0,0,0,30 臺北市,1 一般
113,1,國立政治大學,1111001,教育學系,D 日,B 學士,221,69,152,0,0,15,36,16,35,12,30,16,34,0,0,0,0,0,0,10,17,30 臺北市,1 一般
113,1,國立政治大學,1114005,教育行政與政策研究所,D 日,M 碩士,40,17,23,0,0,6,6,6,8,4,6,1,3,0,0,0,0,0,0,0,0,30 臺北市,1 一般
113,1,國立政治大學,1114006,學校行政碩士在職專班,N 職,M 碩士,87,29,58,0,0,11,13,7,15,6,14,2,10,3,6,0,0,0,0,0,0,30 臺北市,1 一般
113,1,國立政治大學,1121004,幼兒教育研究所,D 日,M 碩士,28,3,25,0,0,0,7,0,10,3,5,0,3,0,0,0,0,0,0,0,0,30 臺北市,1 一般
113,1,國立政治大學,2211019,宗教研究所,D 日,D 博士,23,11,12,0,0,0,3,3,0,1,1,2,4,2,2,2,0,1,2,0,0,30 臺北市,1 一般
113,1,國立政治大學,2211019,宗教研究所,D 日,M 碩士,30,14,16,0,0,4,3,1,5,5,3,4,5,0,0,0,0,0,0,0,0,30 臺北市,1 一般
113,1,國立政治大學,2221020,歷史學系,D 日,D 博士,25,18,7,0,0,4,0,1,2,5,1,1,0,2,1,2,1,3,2,0,0,30 臺北市,1 一般
113,1,國立政治大學,2221020,歷史學系,D 日,M 碩士,49,33,16,0,0,8,4,7,4,7,1,11,7,0,0,0,0,0,0,0,0,30 臺北市,1 一般
113,1,國立政治大學,2221020,歷史學系,D 日,B 學士,179,93,86,0,0,24,21,22,15,17,21,20,20,0,0,0,0,0,0,10,9,30 臺北市,1 一般
113,1,國立政治大學,2221021,臺灣史研究所,D 日,D 博士,20,8,12,0,0,2,1,1,2,1,3,1,1,2,1,0,1,1,3,0,0,30 臺北市,1 一般
113,1,國立政治大學,2221021,臺灣史研究所,D 日,M 碩士,57,38,19,0,0,8,4,9,3,6,6,15,6,0,0,0,0,0,0,0,0,30 臺北市,1 一般
113,1,國立政治大學,2222031,民族學系,D 日,D 博士,14,6,8,0,0,1,0,0,2,0,0,2,1,1,2,0,0,2,3,0,0,30 臺北市,1 一般
113,1,國立政治大學,2222031,民族學系,D 日,M 碩士,18,10,8,0,0,4,1,1,3,4,3,1,1,0,0,0,0,0,0,0,0,30 臺北市,1 一般
113,1,國立政治大學,2222031,民族學系,D 日,B 學士,186,80,106,0,0,15,29,16,21,22,19,18,19,0,0,0,0,0,0,9,18,30 臺北市,1 一般
113,1,國立政治大學,2231022,哲學系,D 日,D 博士,27,17,10,0,0,2,2,2,3,4,1,4,2,0,0,0,2,5,0,0,0,30 臺北市,1 一般
113,1,國立政治大學,2231022,哲學系,D 日,M 碩士,37,26,11,0,0,8,3,4,2,6,3,8,3,0,0,0,0,0,0,0,0,30 臺北市,1 一般
113,1,國立政治大學,2231022,哲學系,D 日,B 學士,204,103,101,0,0,21,33,20,22,20,20,25,18,0,0,0,0,0,0,17,8,30 臺北市,1 一般
113,1,國立政治大學,2299098,亞際文化研究國際碩士學位學程,D 日,M 碩士,3,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
113,1,國立政治大學,2311009,英國語文學系,D 日,D 博士,20,8,12,0,0,1,3,0,1,0,2,6,0,0,2,0,3,1,1,0,0,30 臺北市,1 一般
113,1,國立政治大學,2311009,英國語文學系,D 日,M 碩士,53,12,41,0,0,5,14,3,6,3,14,1,7,0,0,0,0,0,0,0,0,30 臺北市,1 一般
